Date of sale,Time of sale,Date of listing,Bundle,Brand,Description,Size,Item price,Buyer shipping cost,Total,Depop fee,Depop Payments fee,Boosting fee,Payment type,Category,City,State,Post Code,Country,US Sales tax,Refunded to buyer amount,Fees refunded to seller,order_id,time_to_sell_days
2024-07-01,7:16 PM,2024-06-16,No,Other,"Limited NYC 2023 Dragon Ball Daima Special Panel T-Shirt 

Size: XL
Measurement: 21.5W X 27L

#DragonBall #Goku #Anime",XL,24.0,6.29,31.97,2.4,1.51,0.0,STRIPE,T-shirts,Altoona,Iowa,50009-2688,US,1.68,0.0,0.0,cbef8752-866f-4360-bddf-51670d85e920,15
2024-08-05,10:39 PM,2024-06-16,No,Starter,"90s Vintage Starter Denver Broncos Superbowl XXXIII Shirt

Size: Large
Measurements:22.5W X 26L

#NFL #Superbowl #Denver #Broncos #Starter",L,25.0,6.29,33.15,2.5,1.54,0.0,STRIPE,T-shirts,Lehi,Utah,84043,US,1.86,5.76,1.51,2b464657-585b-4d12-9f08-00404bd154c4,50
2024-08-06,3:13 AM,2024-07-21,No,Other,"NYPD shirt

Size: Medium
Measurements: 20 W X 25 L

#NYPD #NewYork",M,10.0,6.29,17.08,0.0,1.01,0.0,STRIPE,T-shirts,Phoenix,Arizona,85048-8746,US,0.79,0.0,0.0,ecd8dcfd-ef06-436f-b652-df2704d5f453,16
2024-08-07,4:42 AM,2024-07-21,No,Hard Rock Cafe,"Hard Rock Cafe grey and white shirt

Size: Large
Measurements: 22W X 26L

#HardrockCafe",L,8.0,6.29,14.91,0.0,0.94,0.0,STRIPE,T-shirts,Fair Oaks,California,95628-5529,US,0.62,0.0,0.0,3d64014a-df99-4fb1-af74-6e1a6a11747c,17
2024-08-08,2:05 AM,2024-08-07,No,Other,"Polo shirt

Size: Medium",M,6.0,6.29,12.73,0.0,0.87,0.0,STRIPE,Polo shirts,Saratoga Springs,Utah,84045-8154,US,0.44,0.0,0.0,f174c217-dad0-4ff9-aa13-9588522390f2,1
2024-08-08,9:21 PM,2024-07-21,No,Other,"White and purple tank top

Size: Large
Measurements: 22W X 27L",L,4.0,6.29,10.67,0.0,0.8,0.0,STRIPE,Vests,Los Angeles,California,90032-1132,US,0.38,0.0,0.0,e3b02394-3652-4b6c-9037-786e550b0fa7,18
2024-08-13,5:31 AM,2024-06-16,No,Other,"Ashworth Royal Blue Waterproof Pullover

Size: Medium
Measurements: 24W X 26L",M,13.0,7.99,22.46,1.3,1.19,0.0,STRIPE,Sweatshirts,West Jefferson ,Ohio,43162,US,1.47,0.0,0.0,0f920be9-a954-48dd-a7e2-a63698d4f7f2,58
2024-08-17,2:01 PM,2024-07-21,No,NFL,"Grey NFL Colts Shirt
Size: L
Measurements: 22 W X 26 L

#NFL #Colts",L,12.0,6.29,19.57,0.0,1.1,0.0,STRIPE,T-shirts,Jackson,Mississippi,39211-3513,US,1.28,0.0,0.0,10d2fe95-e255-4efb-8c7e-7d372fcc8608,27
2024-08-18,8:02 PM,2024-08-08,No,UNIQLO,"Uniqlo Gundam white tshirt

Size: Large
Measurements: 22 W X 26 L


 #anime #gundam",L,17.0,6.29,25.21,0.0,1.28,0.0,STRIPE,T-shirts,San Antonio,Texas,78238-1949,US,1.92,0.0,0.0,e1a1dc8f-871f-46db-b56e-76d0bfcc8f35,10
2024-08-20,5:12 AM,2024-08-08,No,Russell Athletic,"Navy and white Northwestern tee Russell Athletics

Size: Medium
Measurements: 20W X 24 L

 #college #RusselAthletics",M,17.0,6.29,23.29,0.0,1.22,0.0,STRIPE,T-shirts,Chestnut Hill,Massachusetts,02467-1426,US,0.0625,0.0,0.0,8025cb03-b12e-4607-a7bd-5462421eceb7,12
2024-09-04,3:41 AM,2024-08-09,No,Other,"Philippines Palawan t shirt with map design on the front  

Size: Large
Measurements: 20 W X 26 L

#OoyPhilippines!",L,16.0,6.29,23.75,0.0,1.23,0.0,STRIPE,T-shirts,Sunnyvale,California,94086,US,1.46,0.0,0.0,6be31cf4-269b-4701-9f29-6f56bdcd079c,26
2024-09-04,4:33 PM,2024-08-07,No,Hard Rock Cafe,"Hard Rock Cafe navy quarter zip sweatshirt

Size: Medium

#Hardrockcafe",M,15.0,11.69,29.09,0.0,1.41,0.0,STRIPE,Sweatshirts,Champaign,Illinois,61820-6170,US,2.4,0.0,0.0,6df04a6b-121d-4194-9a42-11825ec01273,28
2024-09-05,11:55 AM,2024-08-09,No,Other,"Red and yellow Kronk Detroit tee

Size: XL
Measurements: 21 W X 29 L

#Boxing #Detroit",XL,12.0,6.29,18.29,0.0,1.05,0.0,STRIPE,T-shirts,Hyde Park,Massachusetts,02136-1932,US,0.0625,0.0,0.0,bb183d20-3f74-4ab2-b6a8-52b1145fceed,27
2024-09-06,4:04 PM,2024-08-07,No,NBA,"Dallas Mavericks Hoodie

Size: Medium

#NBA #MAVS",M,20.0,11.69,33.03,0.0,1.54,0.0,STRIPE,Hoodies,Ozark,Missouri,65721,US,1.34,0.0,0.0,4f9c6aa8-b71a-44c3-ba28-26a012848c1d,30
2024-09-06,8:54 PM,2024-08-07,No,NFL,"Red and Yellow Kansas Chiefs Pullover

Size: Extra Large

#NFL #KANSAS #CHIEFS",XL,32.0,11.69,47.0,0.0,2.0,0.0,STRIPE,Sweatshirts,Overland Park,Kansas,66212-1464,US,3.31,49.3,19.3,429322d5-ec7d-474a-bfd3-2a1fe672b663,30
2024-09-27,5:50 PM,2024-07-21,No,Other,"Cabo Wabo Cantina cream and tan tee

Size: Extra Large
Measurements: 22W X 25 L

#Heavyweight #Cabo #Mexico",XL,7.8,6.29,14.83,0.0,0.94,0.0,STRIPE,T-shirts,LAs Vegas ,Nevada,89103,US,0.74,0.0,0.0,1ebccc0d-f5a6-4cc9-b49e-02915b427d63,68
2025-02-01,12:27 AM,2024-12-07,No,Other,"Black and red denim bomber jacket 

Size: Extra Large
#grunge #Y2K #Denim #Varsity #Vintage",XL,50.0,11.69,66.74,0.0,2.65,0.0,STRIPE,Outerwear,San Pedro ,California,90731,US,5.05,0.0,0.0,235cedb7-5665-4acf-b313-2298c026570b,56
2025-02-06,6:22 AM,2024-12-18,No,Puma,"Black Puma windbreaker jacket

Size: Medium
#Puma #Sporty #Windbreaker #Running #sweg",M,19.6,7.99,27.59,0.0,1.36,0.0,STRIPE,Outerwear,Russell,Pennsylvania,16345,US,0.06,0.0,0.0,c5f08182-6f2d-485c-b445-fe7e18d22a7d,50
2025-03-03,12:46 AM,2024-12-18,No,Other,"Navy Nissan bomber jacket jacket

Size: Fits like Large
~Cropped fit
~Zipper is backwards lol idk why
#Nissan #Bomberjacket #Carworkwear #Skyline",L,25.0,11.69,39.05,0.0,1.74,0.0,STRIPE,Outerwear,Placentia,California,92870,US,2.36,0.0,0.0,1d2ffbd2-7e92-466d-b232-53a26f43de2f,75
2024-11-11,6:08 PM,2024-11-10,No,Reebok,"90s Reebok Navy blue 1/4 zip sweatshirt 

Size: Large
Measurements: 22W x 26 L

#90s #Reebok",L,22.0,11.69,33.69,0.0,1.56,0.0,STRIPE,Sweatshirts,Trenton,New Jersey,08638-1966,US,0.06625,0.0,0.0,272669ed-495a-48f0-acb2-30b8ec090359,1
2024-11-13,3:41 AM,2024-11-12,No,Bershka,"Black Baggy Bershka Jeans
-Super baggy
-Nice Fade

Measurements: 32W x 30 L

#Baggy #Jeans #Bershka #Y2K",M,25.0,11.69,40.63,0.0,1.79,0.0,STRIPE,Jeans,Auburn,Washington,98092,US,3.94,0.0,0.0,3d046b9e-3252-48ab-88a6-4e212ed32dc3,1
2024-11-14,12:22 AM,2024-11-10,No,Old Navy,"Navy blue Old Navy cable knit sweater

Size: Large
Measurements: 20.5 W x 25 L
 #Sweater #Winter #Oldnavy",L,13.0,7.99,22.99,0.0,1.21,0.0,STRIPE,Sweaters,Louisville,Colorado,80027,US,2.0,0.0,0.0,6210d711-34ed-42c2-996c-388ab835256f,4
2024-11-14,9:34 PM,2024-11-14,No,Other,"Y2K Navy Blue London Zip Up

Size: Large
Measurements: 22W x 26L

#UK #Y2K",L,14.0,11.69,27.92,0.0,1.37,0.0,STRIPE,Hoodies,San Antonio,Texas,78210-3552,US,2.23,0.0,0.0,b997b5de-a5d2-4d40-b04a-825c3ea8ff13,0
2024-11-17,6:53 AM,2024-11-10,No,100 Thieves,"Schlatt & Co Thunderballs Green Crewneck

Size: Extra Large
Measurements: 24W x 24 L",XL,40.0,7.99,51.3,0.0,2.14,0.0,STRIPE,Sweaters,Elk Grove,California,95624,US,3.31,0.0,0.0,ef9ef03e-362c-41bb-a542-82965f614d58,7
2024-11-18,11:03 PM,2024-11-13,Yes,Other,"Ashworth Polo Long Sleeve

Size: Large
Measurements: 24W x 26 L",L,20.0,11.69,53.69,0.0,2.22,0.0,STRIPE,Polo shirts,Manchester,Pennsylvania,17345-9326,US,0.06,0.0,0.0,bed5d73c-439f-4c09-aa61-293dee0c870d,5
2024-11-18,11:03 PM,2024-11-18,Yes,Other,"Navy Sope Creek Polo Long Sleeve Sweater
- Small bleach stain on sleeve
-Fits cropped

Size: Large
Measurements: 22W x 22L

#Fall #Sweater #Preppy",L,22.0,0.0,0.0,0.0,0.0,0.0,STRIPE,Sweaters,Manchester,Pennsylvania,17345-9326,US,0.06,0.0,0.0,f2cd3520-a3aa-490e-9169-f8250a26b5bb,0
2024-11-19,10:20 PM,2024-11-14,No,Other,"Super Soft Brown and Tan Vintage Sweater 
-Small hole in the last picture

Size: No tag but fits like a large
Measurements: 22W x 27 L

#Vintage #Fall #Sweater",L,17.3,7.99,26.99,0.0,1.34,0.0,STRIPE,Sweaters,New London,Connecticut,06320-4306,US,1.7,0.0,0.0,1894225a-71aa-49d1-a008-a19bafe8faee,5
2024-11-20,5:41 AM,2024-11-20,No,J.Crew,"Grey and Black J.Crew Knitted Sweater 

Size: No tag but fits like Large or Extra Large
Measurements: 24W x 26L

#Winter #Sweater #Knit #Cozy",L,14.4,7.99,22.39,0.0,1.19,0.0,STRIPE,Sweaters,Wilmington,Delaware,19801-2521,US,0.0,0.0,0.0,ce4e65d4-5ab6-48ee-b43e-c15b521dd675,0
2024-11-24,4:04 AM,2024-11-24,No,Other,"White Manny Pacquiao boxing tee

Size: Large
Measurements: 20W x 25L

 #Boxing #Pacquiao #OoyPhilippines! #Pinoy #Sports",L,22.0,6.29,30.73,0.0,1.46,0.0,STRIPE,T-shirts,Castro Valley,California,94546-2530,US,2.44,0.0,0.0,2d624885-8ac9-4055-b996-ed84a9ce7055,0
2024-11-25,12:13 AM,2024-11-13,No,Anvil,"Funny PETA graphic Tee

Size:Extra Large
Measurements: 22W x 25L

#PETA #Funny #Animalrights",L,10.0,6.29,17.33,0.0,1.02,0.0,STRIPE,T-shirts,Vallejo,California,94589,US,1.04,0.0,0.0,b1a1ad42-cd65-44a4-bd95-4172cfdb1e3e,12
2024-11-26,2:44 AM,2024-11-20,No,Russell Athletic,"Vintage Russel’s Athletic Crewneck

Size: Medium
Measurements: 22W x 24L

#Russel #Vintage #90s",M,16.0,7.99,25.52,0.0,1.29,0.0,STRIPE,Sweatshirts,Chula Vista,California,91910,US,1.53,0.0,0.0,f75da652-707d-40c1-bb7d-82cc0e1e044e,6
2024-11-26,7:34 PM,2024-11-26,No,Reebok,"Reebok Utah Jazz Shooting Jersey 

Size: Large Tall
Measurements: 23W x 30 L

#NBA #Vintage #Hooping #Utah #Basketball",L,41.3,7.99,52.48,0.0,2.18,0.0,STRIPE,Other,West Jordan,Utah,84081-3416,US,3.19,0.0,0.0,05ae33ef-9a95-4425-996c-71cdeb611151,0
2024-11-30,4:28 AM,2024-11-29,No,Croft & Barrow,"Heavy Knit Grey and Navy Striped Sweater

Size: Large

#Sweater #Knit #Heavyknit",L,20.0,7.99,27.99,0.0,1.37,0.0,STRIPE,Sweaters,Philadelphia,Pennsylvania,19107-1728,US,0.06,0.0,0.0,d902d1a7-04a5-4cc5-be4c-30251eadd4ce,1
2024-11-30,5:59 PM,2024-11-29,No,Other,"Cabela's Brown Henley Sweater

Size: Large
Fits cropped
#Cabela #Outdoor #Warm #Sweater",L,25.0,7.99,35.26,0.0,1.61,0.0,STRIPE,Sweaters,Winter Park,Florida,32789-5743,US,2.27,0.0,0.0,325325ca-a6a2-4e16-8ac8-a8064f4ef030,1
2024-11-30,9:52 PM,2024-11-29,No,Reebok,"Dallas Cowboys Y2K Reebok Hoodie

Size: Large

#NFL #Cowboys #Football #Sports #Dallas",L,28.0,11.69,39.69,0.0,1.76,0.0,STRIPE,Hoodies,Magnolia,Delaware,19962-1620,US,0.0,0.0,0.0,a94ff538-5fa6-4d0d-8741-69ada7c9ab5e,1
2024-12-02,11:45 PM,2024-08-07,No,NFL,"Red and Yellow Kansas Chiefs Pullover

Size: Extra Large

#NFL #KANSAS #CHIEFS",XL,30.0,11.69,44.66,0.0,1.92,2.4,STRIPE,Sweatshirts,Mission Hills,Kansas,66208,US,2.97,0.0,0.0,dbc10b58-2046-4f8a-b08c-d9f4bdcf2e78,117
2024-12-05,7:27 PM,2024-11-28,No,Looney Tunes,"Vintage Looney Tunes Acme Riding Co. Green Crewneck 

Size: Medium

#LooneyTunes #VintageSweatshirt #Cropped #Winter #Cozy",M,15.0,7.99,22.99,0.0,1.21,0.0,STRIPE,Sweatshirts,Blackwood,New Jersey,08012-5354,US,0.06625,0.0,0.0,2f3364c0-2669-45be-9223-15c439f6fc41,7
2024-12-07,6:33 PM,2024-11-28,No,FatFace,"Vintage Fatface Arlie Quarter Zip

Size: Extra Large

#Fatface #1/4zip #90s",XL,17.0,11.69,28.69,0.0,1.4,0.0,STRIPE,Sweatshirts,Wakefield,Rhode Island,02879-8224,US,0.07,0.0,0.0,8a02ea3b-eea2-4b3d-9c20-dbac089772f4,9
2024-12-08,10:19 PM,2024-08-07,No,Porsche Design,"Porsche navy blue polo shirt

Size: XXL

 #y2k #Porsche",XXL,30.0,6.29,38.6,0.0,1.72,2.4,STRIPE,Polo shirts,Huntington,West Virginia,25705-4104,US,2.31,0.0,0.0,c5943d43-499d-42d2-8fc1-f6c6df1022cd,123
2024-12-10,8:52 PM,2024-12-09,No,Other,"Y2K Skater Style Red Crewneck

Size: Extra Large
#Skater #Y2K #Red",L,27.2,11.69,40.78,0.0,1.8,0.0,STRIPE,Sweatshirts,Long Beach,New York,11561-5012,US,1.89,0.0,0.0,bc7da216-697e-4d7e-8b5e-d0f94ae69ebb,1
2024-12-10,9:00 PM,2024-11-14,No,Other,"Navy blue University of Athens Zip Up Hoodie 

Size: No tag but fits large

#Athens #Greece #College

#UniversityOfAthens",L,21.5,11.69,35.14,0.0,1.61,0.0,STRIPE,Hoodies,Henderson,Nevada,89044-0448,US,1.95,0.0,0.0,ed76a085-bc18-4e46-95f3-e6bc281d9107,26
2024-12-13,2:08 AM,2024-11-26,No,NBA,"Green Boston Celtics Windbreaker Jacket 

Size: Medium

#CelticsNation #NBA #Basketball #Hooping #Boston",M,55.0,11.69,70.9,0.0,2.79,0.0,STRIPE,Outerwear,Bowling Green,Kentucky,42101-6336,US,4.21,0.0,0.0,4b209679-e211-4196-bc21-5a3d5c02b1bc,17
2024-12-14,9:39 PM,2024-11-25,No,Adidas,"USED Adidas Samba White

Size: 8 1/2 Men’s 
*A little scuffed and not perfect but still pretty good*",US 8.5,50.0,11.69,66.23,0.0,2.64,4.0,STRIPE,Sneakers,Wilmington,North Carolina,28405-3077,US,4.54,0.0,0.0,52dc5a11-0583-4dcd-b352-261ffb954512,19
2024-12-15,12:44 AM,2024-12-10,No,Other,"Brown and tan checkered flannel shirt with a relaxed fit 

Size: Large
#grunge #Flannel",L,15.3,6.29,23.2,0.0,1.22,0.0,STRIPE,Tops,Greenwood,Indiana,46142-1991,US,1.61,0.0,0.0,3636f52e-a493-4201-8d4c-823efd020a52,5
2024-12-17,12:32 AM,2024-11-12,No,Izod,"Green 90s IZOD Mock Neck Long Sleeve

Size: Large
Measurements: 21W x 25L

#IZOD",L,10.0,6.29,17.26,0.0,1.02,0.0,STRIPE,T-shirts,San Francisco,California,94118-3753,US,0.97,0.0,0.0,a3c1d5fc-7398-4c45-8664-075e12e1d584,35
2024-12-17,8:32 AM,2024-11-24,No,Other,"80s Knights of The Round Table Striped Polo Longsleeve

Size: Large
Measurements: 22W x 28L

#Retro #80s Vintage #Knights #Polo #Preppy",L,17.0,6.29,25.28,0.0,1.28,0.0,KLARNA,Polo shirts,Aurora,Colorado,80011-8445,US,1.99,0.0,0.0,3aca4e84-9821-4f5b-bd58-7c78aceac7bd,23
2024-12-18,6:16 PM,2024-12-02,No,Nike,"*Cropped* Black and Red San Francisco 49ers Jersey

Size: Large
#SF #49ers #Bay #NFL #Nike",L,17.0,6.29,23.29,0.0,1.22,0.0,STRIPE,Other,Marblehead,Massachusetts,01945-3502,US,0.0625,24.84,9.06,ddbdebcb-3037-407e-aa39-a7035251d47c,16
2025-01-12,1:19 AM,2024-11-18,No,Other,"Rare Vintage Bauer Rakow Grizzlies Hockey Jersey
- Minor flaws print is slightly faded and depicted in the pictures

Size: Extra Extra Large
Measurements: 27W x 32 L

#Hockey #Streetwear #Sports #Bauer",L,70.0,7.99,83.37,0.0,3.2,5.6,STRIPE,Other,Sandy,Utah,84092,US,5.38,0.0,0.0,00192f7b-a73e-495a-afb5-5e772eebd79a,55
2025-01-12,6:15 PM,2024-11-28,No,Gildan,"Vintage China Town San Francisco Dragon Tee

Size: Small
#Chinatown #SF #Bayarea #Dragondeez #Y2K",S,17.0,6.29,24.73,0.0,1.27,0.0,STRIPE,T-shirts,Fullerton,California,92833-2055,US,1.44,0.0,0.0,21b3bddf-d358-462d-8220-c6686441a4b8,45
2025-01-16,6:04 PM,2024-07-21,No,Fruit of the Loom,"90s Vintage R.E.M. Monster Band Shirt

Size: Large
Measurements: 22W X 25L

#Vintage #Bandtee #Rare",L,64.0,6.29,70.29,0.0,2.77,5.12,STRIPE,T-shirts,North Attleboro,Massachusetts,02760,US,0.0625,0.0,0.0,922f9fe2-ed6a-4fa0-9667-54439d03e975,179
2025-01-19,4:02 PM,2024-11-12,No,Polo Ralph Lauren,"Maroon Polo Ralph Lauren Turtle Neck Long Sleeve

Size: Large
Measurements: 23W x 23 L

#Polo #RalphLauren #Fall",L,9.0,7.99,16.99,0.0,1.01,0.0,STRIPE,Sweaters,Bridgewater,New Jersey,08807-1215,US,0.06625,0.0,0.0,86ef24f8-d6c4-4ae3-b9e7-08188e984849,68
2025-01-20,3:23 PM,2024-11-10,No,Russell Athletic,"Grey and red 90s vintage Russel’s Athletic Stanford University tee 

Size: Medium
Measurements: 20W x 25L

#90s #Russelathletics",L,14.0,6.39,21.68,0.0,1.17,0.0,STRIPE,T-shirts,Henderson,Nevada,89002-9243,US,1.29,0.0,0.0,df3bb8cb-1959-4793-a935-a9ce650d28df,71
2025-02-01,12:27 AM,2024-12-07,No,Other,"Black and red denim bomber jacket 

Size: Extra Large
#grunge #Y2K #Denim #Varsity #Vintage",XL,50.0,11.69,66.74,0.0,2.65,0.0,STRIPE,Outerwear,San Pedro ,California,90731 ,US,5.05,0.0,0.0,b8a12405-ce4d-4e92-ae7e-110c928b6ef6,56
